date,trend,HL1,HL2,HL3,HL4,HL5,HL6,HL7,HL8,HL9,HL10,HL11,HL12,HL13,HL14,HL15,HL16,HL17,HL18,HL19,HL20
12/30/2016,0,WashPost: Russian Hackers Breach US Electrical Grid Via Vermont Utility,Debbie Reynolds and Carrie Fisher to Be Buried Together,Sen. John McCain: Russia Must Pay Price for Hacking,Angela Merkel: Islamist Terrorism Is Biggest Test for Germany,"DHS Data: Border Patrol Arrested 530,250 in 2016",Connecticut High Court Reinstates Murder Conviction of Kennedy Cousin,NC: Law Stripping Gov.-Elect's Power Blocked,Obama Meeting With Democrats About Shielding Obamacare from GOP,Sen. John McCain Schedules Hearing on Cyber Threats,"Milo Yiannopoulos, 'Alt-Right' Icon, Signs $250K 'Dangerous' Book Deal",US Gives Detailed Look at Russia's Alleged Election Hacking,Michael McFaul: 'Somewhat Surprised' Putin Let Diplomats Stay,"Trump Inaugural Parade Includes Over 8,000 People",RFK Jr. Defends Son's Arrest: 'Conor Has Always Reacted Against Bullies',"Heritage Foundation's Coffey: Russia Sanctions 'Too Little, Too Late'",Year in Review: 15 Top News Stories of 2016,Mormon Tabernacle Choir Singer Quits Before Trump Inauguration,"5 Best-Selling Semiautomatic Handguns Share 2 Qualities: Concealable, Effective Defense",2016's Extra Second to Leap In After the Year's Last Minute,Why Obese People Struggle to Exercise
12/29/2016,1,NYC Issues First-Ever Intersex Birth Certificate,Report: North Korean Cyber Attack Could Take Down US Pacific Command,"Ex-NYPD Commish Kerik to Newsmax: Violent Cities Need Leadership, Resources, Police Manpower",NY Post: Even de Blasio Thinks it's Nuts to Spend New Year's Eve in Times Square,Bourdain: 'Privileged Eastern Liberals' to Blame for Anti-Establishment Vote,France Raises 'Terror Tax' to Support Victims of Attacks,Comic Trashed Over Appalling Debbie Reynolds-Carrie Fisher Crack,John McCain: Sanctions 'Overdue' But 'Small Price' for 'Brazen Attack on Democracy',Foreign Pupils Help Keep Cash-Strapped State Schools Afloat,Snowden Doc: NSA Blames Russia for Hack of Murdered Journalist,Two Dozen States Begging Trump to Kill Costly Obama Global Warming Plan,Pay to Rise for Millions as 19 States Increase Minimum Wage,"Rep. Franks: Sanctions Based on 'Leaks,' Obama Acting 'Hypocritically'",Illness Tied to Marijuana Rising in States Where Weed Is Legal,US Hits Russian Officials With Sanctions Over Election Hacks,Pete Hoekstra: Trump's Reluctance to Blame Russia is 'Healthy Skepticism',Maintenance Delays Lead to No US Aircraft Carrier in Middle East,Soros Claims Trump 'Would-Be Dictator',Utah AG Plans to Sue Obama Over National Monument,Israeli Amb. Danon: Kerry Defending 'Indefensible' UN Resolution
12/28/2016,0,"Obama Designates Monuments, Protects Federal Land in Utah, Nevada","Debbie Reynolds Dies Day After Daughter, Carrie Fisher",Brother of JonBenet Ramsey Sues CBS for $750M,TMZ: Debbie Reynolds Hospitalized for Possible Stroke,Amazon Echo Murder Witness? Investigators Want to Ask Alexa About Case,Judge to Rule on Sealed Documents from 'Bridgegate' Trial,WH Aide Ben Rhodes on Kerry's Speech: 'No Justification for Terrorism',"Donald Trump Rooster Statue at China Mall Sports Same Hair, Gestures",Demonstrators Rally Against UN Resolution,Report: Israel's Attorney General Orders Criminal Probe Against Netanyahu,"Cardinal Dolan, Franklin Graham to Pray at Inauguration",Kerry: Russian Hacking Had Major Impact on Election,Report: Warm Arctic Winter Without Climate Change 'Extremely Unlikely',Sen. Chuck Schumer Calls on Trump Cabinet Picks to Release Tax Returns,Wash Examiner: State Dept. Used NY Times to Float Kerry's Speech,"McCain, Graham Call for Sanctions, Doubt Obama's Power on Russia",Amazon Removes 'Bulletproof' BLM Shirt After Police Complaints,Gallup Poll: Obama Most Admired Man; Clinton Most Admired Woman,Disputed Document Claims US Colluded With Palestinians Before UN Vote,Kerry Warns Israel: Two-State Solution Is the 'Only Way'
12/27/2016,0,Obamacare Recipients File Motion to Intervene in GOP Lawsuit,US Appeals Court Revives Clinton Email Suit,Man Dies at Mexican Teen's Viral Quinceanera Birthday Party,Sen. Lindsey Graham: 100 Senators Believe Russia Meddled in US Election,Holocaust Search: Google Changes Algorithm to Bury Neo-Nazi Results,"Japan's Abe Visits Pearl Harbor, Condolences but No Apology",Nonprofit Leader Who Wrote Racist Michelle Obama Post Fired,Nonprofit Leader Who Wrote Racist Michelle Obama Post Fired,Nonprofit Leader Who Wrote Racist Michelle Obama Post Fired,Haaretz: Netanyahu Threatened NZ Foreign Minister Before UN Vote,Bills Fire Coach Rex Ryan Ahead of Last Game of Season,Afghanistan's First Female Pilot Seeks Political Asylum,Abe Answers Obama’s Hiroshima Visit With Pearl Harbor Trip (1),Abe Answers Obama’s Hiroshima Visit With Pearl Harbor Trip (1),Abe Answers Obama’s Hiroshima Visit With Pearl Harbor Trip (1),Carrie Fisher's Death: 'Wake-Up Call' for Heart Screen Tests,Carrie Fisher's Death Spotlights Women's Heart Risks,Trump Tower Evacuated Over Bag of Children's Toys,Did Drug Addiction Boost Carrie Fisher's Heart Risk?,Mall Brawls Break Out Across Country After Christmas Weekend
12/23/2016,1,Kudlow: Tax Reform Must Be Trump's First Priority as Economy Needs Help Now,NASA Climate Scientist and Astronaut Sellers Dies at 61,WH Defends Israeli Vote Move: Threatens Two-State Solution in Region,US Issues Travel Warning for Jordan After Recent Attacks,"Obama Signs US Defense Spending Bill, Criticizes Guantanamo Provisions",Carrie Fisher in Stable Condition After Suffering Cardiac Arrest on Plane,"Conservatives Blast UN, Obama on Israel Vote: 'Cowardly, Disgraceful Action'","US Warns of Possible Attacks on Churches, Holiday Gatherings",Russia's Putin Discusses Killing of Ambassador With Erdogan,Trump on UN Vote Condemning Israel: 'Things Will Be Different' After I Take Office,Cardinal Dolan: At This Time in America 'We Need a Little Christmas',US Rebukes Israel and Allows UN Condemnation of Settlements,Stephen Moore: Infrastructure Spending Doesn't Require Government,Schumer: 'Extremely Frustrating' That US Did Not Veto UN Resolution on Israel,CIA Director John Brennan Warns US Against Retaliation for Russian Hacking,Sales of New Homes Rise to Second-Fastest Pace Since 2008,Berlin Attacker Pledged Allegiance to ISIS in Video,Politico: Obama Delivering Farewell Speech in Chicago,Martin Shkreli: 'Of Course' I'd Raise Drug Price Again,John McCain: US Must 'Acknowledge Complicity in Tragedy' of Aleppo
12/22/2016,0,"Australia Police: Christmas Day Bomb Plot Foiled, 5 Detained",Biden: Hillary Never Really Figured Out Why She Was Running,Hollywood 'Reanimating' Long Dead Actors,Sen. Tom Cotton on Edward Snowden: He Should 'Rot in Jail',Joe Scarborough: Democrats in 'Dismal Plight' After Trump's Victory,"Gold Trump iPhone Is Plated With 24 Karats and Costs $151,000",Homicides Increased in Most Big Cities in 2016,Report: Facebook's Unmanned Aircraft Crashed in Test Flight,Andrew Young: Trump's Secretary of State a 'Stone of Hope',"Pope Francis Admired by 'Global Left,' Could Alienate Others",Snowden Goes on Twitter Tirade Refuting House Committee Report on Him,Prince Charles Warns Religious Persecution 'Echoes Dark Days of the 1930s',Harry Reid: DNC Was Worthless During Election,Reports: Passenger Kicked Off Flight for Verbally Harassing Ivanka Trump,Syria: Aleppo Has Returned to Government Control,Kellyanne Conway: Trump Not Seeking Immigration Ban Based Only on Religion,Weight Watchers Stock Jumps After Oprah Says She Lost 40 Pounds,Politico: Obama Admin Shot Down GOP Help Regarding Russia,Coach Switzer: Meeting With Trump Was a Hoax,UN Resolution Criticizing Israeli Settlements Delayed
12/21/2016,1,"Obama: Fox News, Limbaugh Vilified Me",Delta Removed YouTube Prankster for Disruptive Behavior,Ex-Judge to O'Reilly: 'Of Course' Cops Are Offended By Walmart's BLM T-Shirt,UN Commissioner: Duterte Should Be Investigated for Murder,Alan Thicke Died from Ruptured Aorta,Canada Rules High-Speed Internet a 'Basic Service',"Trump's Gift to His Nemesis the Media, a Year of Record Ratings",Repeal of North Carolina LGBT Law Fails in Bitter Divide,'Jeopardy!' Contestant Cindy Stowell's Win Streak Bittersweet,Former Illinois Gov Blagojevich Again Appeals Prison Term,Ikea to Pay $50M to Families Whose Kids Died From Tipped-Over Dressers,Berlin Attack Prompts High Security in US Cities for Holiday,North Carolina Republicans Stumbling over Repeal of LGBT Law,Zuckerberg: Facebook 'Not a Traditional Media Company',Mississippi Church Member Charged in 'Vote Trump' Arson,North Korea Could Be Sending Missile Submarine to Sea,Obama Set to Issue Another $6B in 'Midnight Regulations',Obama Urged to Dismantle Bush Program Trump May Use to Track Muslims,Yahoo Email Scan Shows US Spy Push to Recast Constitutional Privacy,Gay Marriages Now in Prison
12/20/2016,0,Ex-US Amb. to Iraq on Turkey Shooting: Situation 'Can Escalate',"MTV News' 'White Guys' Resolutions Raise Eyebrows, Ire",China Cheers as Taiwan Splits With One of Few Remaining Friends,FT: EU Could Fine Facebook $125M for Misleading Info in WhatsApp Buy,Lena Dunham Faces Backlash for Saying She Wishes She'd Had an Abortion,Judge Releases FBI Warrant for Clinton Emails,House Committee: Obama Fired Top Scientist Over Climate Change,"Mexico Fireworks Market Blast Kills at Least 27, Hurts Scores","Soros Funded 12 Liberal District Attorney Candidates, 10 Won",Obama Bans New Oil Drilling on Millions of Acres of U.S. Waters,Arlington National Cemetery Wreaths: Donors Rally So Every Grave Gets One,NBC: Obama Told Putin Election Hacking Could Result in 'Armed Conflict',Singer Richard Marx Helps Subdue 'Psycho' Passenger During Flight,GAO Sting Exposes Obamacare Fraud a Second Time,State Dept.: No Plans to Alter Trump Inauguration Security After Berlin,DC Mayor Signs Bill Making Assisted Suicide Legal,Report: ISIS Claims Responsibility for Berlin Attack,"After 2 Years, Experts Say MH370 Likely North of Search Area",John Bolton: Merkel's Policy 'Exposed' Germany to 'Risk of Terrorism',Firm: Russian Fraudsters Stole Up to $5M Daily With Fake Ad Views
12/19/2016,0,Epileptic Newsweek Reporter: I'm Pressing Charges Against Twitter User Who Triggered Seizure,Trump's Sons Offering 'Opening Day' Access to Trump for Pricey Donations,Michelle Obama: I'm Not Running for Anything,Number of Faithless Votes Cast Monday Highest Ever in a Presidential Election,F-35 Joint Strike Fighter Program General Hits Back at Trump Comments,Report: Singer Bocelli Won't Perform at Inauguration Amid Backlash,Greenwald: Dems Hypocrites for Criticizing GOP Skeptics of Russian Hacking,Judge to Release Warrant in Hillary Clinton E-Mail Probe,CIA Interrogator: Saddam Was Writing Novel at Time of Invasion,Trump: Assassination in Turkey 'Must Be Universally Condemned',Puerto Rico Warns of $2 Billion Deficit If Forced to Pay Debts,"FedEx Discount for NRA Draws LGBT, Anti-Gun Activist Ire",Mark Zuckerberg: I've Built AI Butler Named Jarvis,"Obama Pardons Sets Record as He Pardons 78, Shortens Sentences for 153",Study: Climate Regs Could Cost $4.5 Trillion,Michael Reagan: Obama's Failed Leadership Led to Putin's Rise,Putin Says Turkey Ambassador Murder Is Ploy to Wreck Syrian Peace Process,"US, China Talks Continue on Return of Seized Navy Drone",Sen. Mitch McConnell: Legislation Coming to Undo Obama Coal Rule,"McCain: Military Wasted $1M on Strip Clubs, Casinos"
12/16/2016,0,Philippines' Duterte to US Over Aid Issue: 'Bye-Bye America',Oklahoma Lawmaker Abandons Anti-Abortion Bathroom Signs Law,Obama Signs Bill to Pay Overworked Secret Service Agents,DNI: Electoral College Won't Get Intel Briefing on Russia,House GOP Quietly Closes Flint Water Investigation,Bergdahl Judge Won't Allow Evidence of Injuries to Soldiers,NC Gov. McCrory Signs Bills Stripping Powers From Dem Successor,Obama: Reagan Would 'Roll Over in His Grave' at Voters Backing Putin,"Obama: Russia Hacked DNC, Told Putin to 'Cut It Out'",US Reward for Info on ISIS Leader Up to $25 Million,"Obama Pins Blame for 'Atrocities' in Aleppo on Assad, Russia","FBI's Comey, Intel Chief Clapper Believe Russia Tried to Help Trump Win","Navy Wants to Add Dozens of Ships, Subs to Fleet",Dangerous Wind Chills Puts Parts of US in the Deep Freeze,NYT: Grand Juries Hearing Testimony About NYC Mayor de Blasio Fundraising,Exxon Mobil's Policy on Climate Change Reversed Under Rex Tillerson,Pentagon Demands China Return Intercepted US Navy Vessel,Cheaper Version of EpiPen Allergy Treatment Available,Princeton Suspends Men's Swim Team for 'Vulgar' Remarks About Women Swimmers,ZOA's Klein: Jerusalem Ties With Islam 'Myth'
